#{"t_start": 1626100784.5870004, "env_id": "RoboSkateSegmentation-v0"}
r,l,t
106.39969,1000,12764.187436
136.543365,1000,12842.313086
97.389982,1000,12919.136703
156.412519,1000,12997.94768
8.228624,768,13058.476336
96.948937,1000,13137.642265
-4.018886,1000,13215.3335
157.12724,1000,13293.967113
83.741542,1000,13605.854584
165.414892,1000,13684.49493
147.688517,343,13711.236692
122.417747,1000,13789.793274
138.34038,336,13816.276845
79.315025,1000,13894.408869
47.639145,764,13953.627178
129.658518,1000,14032.307406
41.313484,368,14060.200617
88.538994,1000,14138.214235
128.654146,1000,14217.087257
110.610854,1000,14294.857103
42.059579,1000,14587.391432
-30.937623,1000,14665.694541
131.02657,333,14693.022172
122.006493,564,14736.151404
89.86937,1000,14814.697327
178.667794,1000,14894.194089
90.253043,1000,14971.331796
152.429132,1000,15049.97046
122.343954,1000,15129.168226
71.778025,1000,15205.8147
58.900262,1000,15284.752193
259.177275,1000,15639.221572
226.236115,1000,15719.818296
107.117724,1000,15798.650987
-23.629582,1000,15875.689542
57.085126,1000,15955.334131
154.108842,1000,16033.949528
80.147348,1000,16111.613254
19.187876,1000,16189.902027
161.529363,1000,16268.119211
143.894123,430,16302.560917
74.979391,1000,16381.415365
60.462031,1000,16766.218307
176.454481,1000,16844.748401
124.381778,1000,16923.464444
27.891608,139,16934.572189
93.967558,1000,17012.85212
90.962137,1000,17091.170171
141.599226,209,17107.783365
63.944034,1000,17186.472023
147.185644,1000,17266.225714
30.595208,1000,17343.725723
126.769079,1000,17422.244618
167.284473,1000,17807.679263
181.57935,1000,17886.929425
140.653495,561,17931.528142
96.588891,1000,18009.284023
120.421809,1000,18088.451334
117.672128,1000,18167.54899
160.847052,694,18223.553221
71.952092,309,18247.865847
105.513496,225,18266.42419
24.511537,53,18271.317542
183.788127,1000,18348.993261
104.486711,1000,18427.888025
78.932036,1000,18506.329399
113.504027,280,18528.712377
72.395334,1000,18914.07594
73.136483,184,18927.964604
149.034847,1000,19006.655971
47.299204,351,19034.824531
147.345148,478,19072.084827
81.322498,1000,19152.266613
113.165697,208,19169.294622
126.404266,1000,19248.251936
155.416574,1000,19327.09013
139.91481,1000,19405.514707
60.24691,563,19449.823419
133.746812,1000,19527.528461
140.048862,1000,19606.076356
-10.0172,473,19643.138578
158.921943,624,19958.058291
21.510812,450,19993.488666
124.63246,314,20018.215033
-64.690995,480,20055.828912
83.765956,1000,20135.416755
80.473021,1000,20213.797125
95.659614,387,20245.35728
69.159423,719,20301.807428
209.96795,1000,20380.678575
78.901041,1000,20458.539377
68.19067,1000,20536.768795
141.440635,956,20612.131582
176.11556,1000,20690.502193
123.991434,798,20959.089258
141.016004,300,20983.309984
174.79053,1000,21061.041656
147.067762,1000,21139.577819
115.988934,1000,21217.062521
-8.768939,294,21241.121611
224.551593,545,21284.695939
135.67581,975,21361.290567
112.700697,418,21393.82129
186.126507,1000,21472.135707
157.083236,311,21497.094661
51.714655,1000,21575.141564
144.403123,1000,21656.309766
151.741798,660,21708.430911
128.695537,1000,22094.34561
150.959456,1000,22173.229905
220.737087,680,22226.392201
140.892681,1000,22305.012145
47.550572,1000,22382.96895
164.937551,1000,22462.02276
44.96818,291,22485.462305
136.82297,362,22513.618093
139.42614,1000,22592.518534
188.508865,1000,22671.686088
120.521923,1000,22749.484097
116.119802,1000,23136.031407
145.306959,443,23170.85736
101.302504,1000,23248.335616
165.450538,1000,23328.14731
166.122769,477,23365.480814
134.38422,754,23424.949841
268.040343,1000,23504.132534
249.246092,1000,23581.663245
162.49183,1000,23660.304857
134.796038,1000,23738.873091
106.754859,531,23780.451447
123.249453,1000,23859.362819
104.590061,903,24197.33526
57.044121,745,24254.376579
135.304317,1000,24333.166676
146.860567,1000,24411.979306
258.617447,408,24444.586893
137.673906,1000,24523.943612
104.498395,1000,24602.07141
220.157661,590,24648.473576
175.069219,397,24680.839824
136.636713,1000,24758.935881
170.163332,1000,24837.330357
188.309268,503,24877.346087
176.144235,1000,24955.11893
71.08774,393,25249.017659
160.584892,1000,25326.042214
218.427568,1000,25404.537707
109.138694,657,25455.689165
161.128073,1000,25534.747948
89.421117,716,25590.860121
200.079679,1000,25669.991963
124.683742,1000,25748.598359
155.487097,1000,25827.37436
95.978839,1000,25904.99371
144.644921,1000,25983.401353
107.195655,1000,26370.184931
318.153563,1000,26448.237769
131.75209,1000,26527.926797
139.771169,1000,26606.995449
140.881025,1000,26685.079916
142.541821,1000,26763.8822
144.485573,1000,26842.589674
176.136906,1000,26921.013412
160.261591,1000,26999.908265
131.226528,1000,27077.861798
107.236032,1000,27464.533784
126.27429,1000,27542.974576
106.916346,1000,27622.009815
124.471037,1000,27701.1077
129.473513,1000,27777.893122
160.468571,1000,27856.496115
114.607199,278,27878.431983
168.804981,1000,27957.138842
262.287853,1000,28034.805224
151.146556,1000,28113.805252
148.513409,1000,28192.509917
149.911939,1000,28532.65646
89.736683,1000,28611.862579
147.725884,1000,28690.596288
162.512025,1000,28768.474798
184.896293,1000,28847.396661
78.780878,792,28908.56227
233.783498,1000,28986.947095
7.24194,1000,29064.947292
160.910658,1000,29142.229464
150.672977,1000,29221.946806
130.543946,1000,29576.551598
